school_name,school_code,county_code,county_name,category,group,enrollment,year
Colonel Richardson Middle School,0802,05,Caroline County,Gender,All Students,390,2025
Colonel Richardson Middle School,0802,05,Caroline County,Gender,Male,189,2025
Colonel Richardson Middle School,0802,05,Caroline County,Gender,Female,201,2025
Colonel Richardson Middle School,0802,05,Caroline County,Grade,All Students,390,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,All Students,827,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,Asian,10,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,African Am.,87,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,Hispanic,203,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,White,458,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,2+,69,2025
Lockerman Middle School,0302,05,Caroline County,Gender,All Students,827,2025
Lockerman Middle School,0302,05,Caroline County,Gender,Male,411,2025
Lockerman Middle School,0302,05,Caroline County,Gender,Female,416,2025
Lockerman Middle School,0302,05,Caroline County,Grade,All Students,827,2025
Colonel Richardson High School,0801,05,Caroline County,Race/Ethnicity,All Students,528,2025
Colonel Richardson High School,0801,05,Caroline County,Race/Ethnicity,Asian,13,2025
Colonel Richardson High School,0801,05,Caroline County,Race/Ethnicity,African Am.,128,2025
Colonel Richardson High School,0801,05,Caroline County,Race/Ethnicity,Hispanic,50,2025
Colonel Richardson High School,0801,05,Caroline County,Race/Ethnicity,White,291,2025
Colonel Richardson High School,0801,05,Caroline County,Race/Ethnicity,Am.Ind/AK,*,2025
Colonel Richardson High School,0801,05,Caroline County,Race/Ethnicity,2+,45,2025
Colonel Richardson High School,0801,05,Caroline County,Gender,All Students,528,2025
Colonel Richardson High School,0801,05,Caroline County,Gender,Male,253,2025
Colonel Richardson High School,0801,05,Caroline County,Gender,Female,275,2025
Colonel Richardson High School,0801,05,Caroline County,Grade,All Students,528,2025
North Caroline High School,0703,05,Caroline County,Race/Ethnicity,All Students,1238,2025
North Caroline High School,0703,05,Caroline County,Race/Ethnicity,Asian,16,2025
North Caroline High School,0703,05,Caroline County,Race/Ethnicity,African Am.,137,2025
North Caroline High School,0703,05,Caroline County,Race/Ethnicity,Hispanic,307,2025
North Caroline High School,0703,05,Caroline County,Race/Ethnicity,White,686,2025
North Caroline High School,0703,05,Caroline County,Race/Ethnicity,Am.Ind/AK,*,2025
North Caroline High School,0703,05,Caroline County,Race/Ethnicity,2+,91,2025
North Caroline High School,0703,05,Caroline County,Gender,All Students,1238,2025
North Caroline High School,0703,05,Caroline County,Gender,Male,633,2025
North Caroline High School,0703,05,Caroline County,Gender,Female,605,2025
North Caroline High School,0703,05,Caroline County,Grade,All Students,1238,2025
Choptank Elementary School,0716,09,Dorchester County,Race/Ethnicity,All Students,319,2025
Choptank Elementary School,0716,09,Dorchester County,Race/Ethnicity,African Am.,230,2025
